item, cost, week
boba, 10, 1
Sandwiches,0.1,1
strip steak, 8, 1
pizza,5,1
Paffles,10,1
Mango Tea,4,1
ETC, 8, 1
Poke Bowl,9,2
Finished,5,1
Poke Bowl,9,2
Strip Steak,10,2
McChicken,1,2
Random Cakes,0.1,2
Sugar,0.1,2
Pizza,6,2
Lemongrass,40,2
Boba,5,2
Muffins,0.01,2
Chicken Salad,0.01,2
Finished,3,1
Finished,5,2
Finished,10,2
Finished,10,2
Finished,1.29,1
Doritos,0.01,2
Lays,0.01,2
Finished,6,2
Finished,7,1
Finished,10,2
Finished,6,1
Mango Tea,7,3
Chicken Tenders,5,3
Finished,1.50,1
12 pc Dumplings,7.5,3
Braised Pork Bowl,7.5,3
Poke,9,3
Chicken Bowl,0.01,3
Boba,0.01,3
Finished,7,3
Finished,1,3
Pastry,0.1,3
Boba,0.1,3
Poke Bowl,20,3
Rice and Chicken,.1,3
Chicken,.1,3
Mango Lemonade,.1,3
Skewers,.1,4
Condiments,0.1,4
Poke,12,4
Finished,10,3
Finished,16,4
Finished,3,3
Poke,10,4
Finished,3,4
Finished,10,4
Discount,-40,4
Poke,10,4
Steak and Eggs,0.1,4
Hamburger,.1,4
Mango Freeze,10,4
Garlic Sub,10,5
Tacos,0.1,5
Crepes,0.1,5
Asados,0.1,5
Strawberry,5,5
Egg and Toast,.01,5
Poke,9,5
Cake,0.1,5
Finished,5,4
Finished,4,4
Finished,16,4
KFT,5,5
bagel w/ cheese,.01,5
MISC,5,6
Brioche Slices,5,3
Pho,13,5
Bahn Mi,10,5
Strawberry,4,5
Strawberry,5,5
Waffles,.01,6
Chicken,5,6
Garlic Sub,15,6
Poke,10,6
Beef,5,6
Bagel,0.1,6
Omlette,0.1,6
Egg Burrito,6,5
Egg Burrito,0.1,6
Egg Burrito,0.1,6
Bagel,0.1,6
Drinks,0.1,6
Poke,10,6
Omlette,0.1,6
Conference Food,0.1,6
Macheese,0.1,6
ice cream sandwich,0.1,7
Poke,9,7
Pizza,0.1,7
Ramen,4,6
Hamburger,0.1,7
Mugcake,0.1,7
Ramen,4,7
Marco & Lucas,30,5
Beef Stew,7,7
Sour Pringles,3,7
Flour Tortillas,2,4
Eggs,2,3
Arizona,6,3
Cheese Pringles,3,7
Beef Yakisoba,3,3
Avocados,3,6
Buns,0.1,7
Ramen,0.1,7
Salad,0.1,7
Chick Fil a Sandwich,0.1,7
Chick Fil a Sandwich,0.1,7
Rakuya Ramen,50,7
Croissant,0.1,8
Dippin Dots,8,8
KBBQ,80,8
Boba,0.1,8
Fries,0.1,8
Poke,8,8
Sheetz,13,8
Pizza,0.1,8
Pizza,0.1,8
Rice and Curry,0.1,8
Snacks,3,8
Chips,0.1,8
Boba,15,9
Boba,0.1,8
Ramen,30,8
Sushi,8,8
Pizza,8,8
Soup,3,8
Soup,3,9
Potluck,0.1,8
Chicken Breasts,5,7
Chicken,5,7
Caprisun,8,3
Condiments,10,1
Condiments,10,2
Rice Paper,4,3
Potatoes,5.99,4
Mac and Cheese,0.1,8
Mac and Cheese,.1,8
Chips,0.1,8
Chips,.1,8
